"ZIPCODE","MEAN"
10000,12.9375
10001,23.6259268117675
10002,25.8324997548299
10003,24.4124129538233
10004,22.7954360228199
10005,24.008681925809
10006,23.9770797962649
10007,25.4344236265481
10009,24.3070435039953
10010,24.8565274395954
10011,23.4959435254452
10012,22.9985736360395
10013,26.8253318861151
10014,23.5432713590084
10016,25.6999607535322
10017,24.2041682266317
10018,25.1968785796105
10019,23.1964352300694
10020,17.6964539007092
10021,24.8657565415245
10022,23.3762670216034
10023,23.3482460599898
10024,24.8156661459496
10025,24.9529197817741
10026,28.1676891615542
10027,25.0273785078713
10028,23.7132444814661
10029,26.0467894474863
10030,22.3808095952024
10031,26.0823471400394
10032,25.9971977582066
10033,25.5511811023622
10034,27.3395652173913
10035,24.4135101010101
10036,24.1855117565698
10037,23.7983333333333
10038,24.091705306543
10039,23.4267716535433
10040,25.7685834502104
10044,23.6524822695035
10055,11
10057,20.1428571428571
10065,23.6099397590361
10069,29.1142857142857
10075,24.044289044289
10104,23.3877551020408
10105,11.24
10106,16.7307692307692
10107,21.6666666666667
10110,10
10111,25.5777777777778
10112,16.3041666666667
10115,10
10118,17.4146341463415
10119,22.278293135436
10121,17.5986842105263
10123,14.1538461538462
10128,25.0511208310552
10153,13
10154,12.1818181818182
10165,7
10168,13.0434782608696
10170,21.289156626506
10171,13.6
10173,11.1428571428571
10174,14.1034482758621
10175,16.7083333333333
10176,19.8888888888889
10179,10.25
10199,21.96875
10270,33.0714285714286
10280,29.8040201005025
10281,17.6271186440678
10282,15.5974842767296
10285,27.2285714285714
10301,21.7429819089208
10302,19.6308851224105
10303,21.1540785498489
10304,22.8407172995781
10305,19.5120174799709
10306,21.131982475356
10307,19.6726804123711
10308,22.2818086225026
10309,21.0256637168142
10310,19.6212268743914
10311,10.2857142857143
10312,22.1372881355932
10314,21.7856895955755
10451,25.5482352941176
10452,25.8693181818182
10453,23.5143721633888
10454,23.7981492192019
10455,26.4612403100775
10456,25.8398034398034
10457,24.4516923076923
10458,23.5255455712452
10459,23.7439862542955
10460,23.304788213628
10461,24.1804484933427
10462,23.3167547404414
10463,26.4635193133047
10464,26.3613666228647
10465,22.1100371747212
10466,24.8494152046784
10467,24.7017490952955
10468,24.8713692946058
10469,22.3872135102533
10470,23.8881922675026
10471,24.5263157894737
10472,22.7310924369748
10473,26.2323651452282
10474,23.6294117647059
10475,25.132860040568
11001,29.6333333333333
11004,26.3267857142857
11005,25.53125
11040,23.7395209580838
11101,25.1102710676747
11102,23.8029315960912
11103,23.1877685114986
11104,24.2403451109285
11105,22.7453142227122
11106,23.9929862422444
11109,17.2765957446809
11201,24.0905874026893
11203,23.7503822629969
11204,23.1306607275427
11205,24.100747481313
11206,24.3914434226309
11207,22.0830636461704
11208,25.2574720921858
11209,22.0407149950348
11210,23.4736842105263
11211,23.3564877462036
11212,23.1216008209338
11213,24.2436028659161
11214,24.9106267029973
11215,23.4714876033058
11216,24.749399759904
11217,22.6137738483015
11218,26.0559025608994
11219,22.9288087327954
11220,27.6763762350828
11221,23.5843113032736
11222,24.0941375422773
11223,24.6398180358576
11224,23.1071428571429
11225,24.0413533834586
11226,26.847943967465
11228,22.8481375358166
11229,24.4347965395707
11230,26.0320375907732
11231,22.5198958720714
11232,24.1766169154229
11233,25.1385390428212
11234,21.7520404197435
11235,24.4917933130699
11236,25.0892448512586
11237,23.6364236225668
11238,23.3104070066976
11239,24.472049689441
11242,24.1111111111111
11249,22.2537555826228
11256,17.95
11354,27.7294503891051
11355,27.959792746114
11356,22.5027870680045
11357,21.1309613928842
11358,23.8890845070423
11360,21.796
11361,22.0269141531322
11362,26.6841611996251
11363,21.8498293515358
11364,24.268544600939
11365,23.8541266794626
11366,24.5793588741204
11367,25.0614186851211
11368,26.6298507462687
11369,23.0754039497307
11370,26.6834094368341
11371,25.3384615384615
11372,27.0383019091664
11373,26.0223691888738
11374,23.0832449628844
11375,23.241051200725
11377,24.4022548393959
11378,23.0079705702023
11379,21.5813953488372
11385,24.1634541249036
11411,30.7459283387622
11412,24.5060975609756
11413,25.2403381642512
11414,22.4528875379939
11415,21.6748704663212
11416,25.3494687131051
11417,23.4054451802796
11418,24.7193675889328
11419,25.435602575897
11420,24.5075653370014
11421,23.9393732970027
11422,23.6122840690979
11423,25.9597855227882
11426,25.5820256776034
11427,24.6947890818859
11428,26.9469194312796
11429,24.1300191204589
11430,21.5958751393534
11432,24.8555219364599
11433,23.2373158756137
11434,25.7850689491203
11435,26.6618705035971
11436,27.4147286821705
11451,10.6666666666667
11691,24.9253968253968
11692,23.8
11693,26.5254237288136
11694,23.061744966443
11697,34.0666666666667
